MATERIAL,TEXTO BREVE MATERIAL,UNIDADE DE MEDIDA, VALOR UNITÁRIO,CAMPO LIVRE,CAMPO LIVRE,CAMPO LIVRE
0041-0050-6,RÉGUA ALIMENTAÇÃO 4 TOMADAS 110/220V,U, R$  -   ,,,
0056-0002-2,IDENTIFICADOR PARA DROP ÓPTICO,U, R$  -   ,,,
0056-0003-0,ALÇA PREFORM P/ DROP ÓPT ASU ATÉ 12 FO,U, R$  -   ,,,
0060-0004-5,CONECTOR LINEAR IMPREGNADO MÚLTIPLO 101,U, R$  -   ,,,
0087-0010-9,LNB OTIMIZADO HD DTH,U, R$  -   ,,,
0087-0029-0,STB IPTV CISCO ISB7100 LOW COST C/HDMI,U, R$  -   ,,,
0087-0032-0,STB IPTV ZYXEL 2102NANO LOW COST S/HDMI,U, R$  -   ,,,
0087-0035-4,STB IPTV CISCO ISB7150 SD/HD C/HDMI,U, R$  -   ,,,
0092-0341-9,MODEM/ROUTER  ADSL WIFI  BHS FIBER HOME,U, R$  -   ,,,
0092-0455-5,ROTEADOR WI-FI PADRÃO N PIRELLI E4001N,U, R$  -   ,,,
0092-0457-1,ROTEADOR WI-FI N IPV6 D-LINK DSL-2750B,U, R$  -   ,,,
0092-0461-0,MODEM WI-FI BHS FIBRA D-LINK DMG-6661,U, R$  -   ,,,
0092-0486-5,CONECTOR OPT FAC SC/APC DROP ROC,U, R$  -   ,,,
0092-0488-1,MODEM FIBRA DLINK VOIP DMG-6661B2,U, R$  -   ,,,
0092-0489-0,MODEM WIFI BHS FIBRA MITRASTAR,U, R$  -   ,,,
0099-0008-0,CUNHA PLÁSTICA P/ DROP ÓPTICO ROC/FIG 8,U, R$  -   ,,,
0106-1285-8,SET TOP BOX IPTV LOW COST PACE,U, R$  -   ,,,
0106-1286-6,SET TOP BOX HD + PVR - IPTV PACE,U, R$  -   ,,,
0186-0004-2,CAIXA DIST OPT EDIF CONECT - 12 PIG TAIL,U, R$  -   ,,,
0186-0007-7,CAIXA DIST ÓPT INT 12 FO-CDOI RISER / BA,U, R$  -   ,,,
0186-0008-5,DIST GERAL ÓPT INT 72 FO-DGOI RISER - BA,U, R$  -   ,,,
0186-0018-2,CORDAO FO MONOFIBRA 3M SC/APC-SC/APC,U, R$  -   ,,,
0186-0022-0,DGOI CONECTORIZADO (DGOI C) - 48 FO,U, R$  -   ,,,
0186-0024-7,DGOI CONECTORIZADO (DGOI C) - 72 FO,U, R$  -   ,,,
0186-0025-5,ESTICADOR PLAS FIX DROP ÓP AS COMP FIG 8,U, R$  -   ,,,
0186-0030-1,DROP OPTICO PRÉ-C FIG8 COMP OPTITAP 50M,U, R$  -   ,,,
0186-0031-0,DROP OPTICO PRÉ-C FIG8 COMP OPTITAP 100M,U, R$  -   ,,,
0186-0033-6,DROP OPTICO PRÉ-C FIG8 COMP OPTITAP 150M,U, R$  -   ,,,
0186-0034-4,DROP OPTICO PRÉ-C FIG8 COMP OPTITAP 220M,U, R$  -   ,,,
0186-0036-0,DGOI CONECT MODULAR 144F - PAREDE,U, R$  -   ,,,
0186-0038-7,DROP OPTICO PRÉ-C FIG8 COMP OPTITAP 300M,U, R$  -   ,,,
0186-0041-7,CAIXA DIST. OPT EDIF. CONECT - 8 SPLITTE,U, R$  -   ,,,
0192-0016-1,SPLITTER DE ASSINANTE PARA ADSL,U, R$  -   ,,,
